frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
213,2,25839.00,389.60,209.63,6,80.50,100.00,117.55,0.0429,Peace
214,1,25065.00,389.42,208.48,7,0.00,100.00,118.67,0.0311,Thumbs Up
215,1,24986.00,388.83,209.16,7,0.00,100.00,119.55,0.0311,Thumbs Up
216,1,24957.00,389.34,208.85,7,0.00,100.00,121.66,0.0311,Thumbs Up
217,1,24779.00,388.44,209.25,7,0.00,100.00,121.90,0.0441,Thumbs Up
218,2,25001.50,390.00,208.52,6,74.05,100.00,122.80,0.0441,Rock
219,2,24904.50,389.10,208.96,7,73.53,100.00,123.67,0.0441,Rock
220,2,24870.00,390.33,206.97,7,81.99,100.00,125.67,0.0315,Rock
221,1,24874.50,390.79,206.00,6,0.00,100.00,125.67,0.0315,Thumbs Up
222,1,25054.50,390.57,206.87,7,0.00,100.00,126.80,0.0315,Thumbs Up
223,1,24739.00,390.41,207.48,6,0.00,100.00,127.67,0.0371,Thumbs Up
224,1,24432.50,389.27,208.46,6,0.00,111.11,129.67,0.0371,Thumbs Up
225,1,24359.00,390.50,207.04,6,0.00,100.00,129.67,0.0371,Thumbs Up
226,1,24854.50,390.29,208.58,6,0.00,100.00,130.80,0.0315,Thumbs Up
227,1,25186.50,389.39,208.41,8,0.00,100.00,131.67,0.0315,Thumbs Up
228,1,25444.50,391.10,208.38,7,0.00,100.00,133.67,0.0315,Thumbs Up
229,1,25162.00,389.79,209.96,6,0.00,100.00,133.67,0.0464,Thumbs Up
230,1,25830.50,390.12,209.63,6,0.00,100.00,134.80,0.0464,Thumbs Up
231,2,25731.00,389.11,210.08,7,80.52,100.00,135.67,0.0464,Rock
232,1,25009.00,389.91,208.91,6,0.00,100.00,137.67,0.0289,Thumbs Up
233,1,24855.50,389.96,208.51,6,0.00,100.00,137.67,0.0289,Thumbs Up
234,2,24633.00,388.64,210.62,6,76.23,100.00,138.80,0.0289,Rock
235,1,24657.50,386.72,210.75,7,0.00,100.00,139.67,0.0392,Thumbs Up
236,1,24594.50,387.99,211.39,6,0.00,100.00,141.67,0.0392,Thumbs Up
237,1,25146.50,389.43,209.97,6,0.00,100.00,141.67,0.0392,Thumbs Up
238,1,25130.50,388.71,211.21,6,0.00,100.00,142.80,0.0452,Thumbs Up
239,1,24630.50,387.40,212.37,5,0.00,100.00,143.67,0.0452,Thumbs Up
240,1,24456.50,387.70,211.53,5,0.00,100.00,145.79,0.0452,Thumbs Up
241,1,24516.00,387.46,211.56,6,0.00,100.00,145.79,0.0470,Thumbs Up
242,1,24710.50,388.30,210.65,6,0.00,100.00,146.80,0.0470,Thumbs Up
243,2,24348.00,386.33,211.55,6,84.09,100.00,147.67,0.0470,Rock
244,1,24677.00,387.25,211.80,6,0.00,100.00,149.67,0.0456,Thumbs Up
245,1,24794.50,387.59,210.14,7,0.00,100.00,149.67,0.0456,Thumbs Up
246,1,25070.50,389.22,209.96,6,0.00,100.00,150.80,0.0456,Thumbs Up
247,2,24745.50,388.17,211.00,6,75.93,90.91,151.67,0.0391,Rock
248,2,25745.50,388.91,210.38,7,79.47,100.00,153.67,0.0391,Rock
249,1,24533.00,389.06,210.59,6,0.00,100.00,153.67,0.0391,Thumbs Up
250,2,24477.50,389.22,208.95,6,83.33,100.00,154.80,0.0323,Rock
251,2,24456.00,389.28,207.63,6,80.55,100.00,155.67,0.0323,Rock
252,2,24444.00,388.64,208.09,7,80.47,100.00,157.67,0.0323,Rock
253,2,24423.50,387.55,208.79,7,82.71,100.00,157.67,0.0401,Rock
254,2,25915.00,389.61,209.29,7,84.00,100.00,158.80,0.0401,Rock
255,1,25991.50,389.18,211.65,6,0.00,100.00,159.67,0.0401,Thumbs Up
256,1,24010.50,390.35,206.30,6,0.00,100.00,161.67,0.0459,Thumbs Up
257,2,24550.00,389.09,207.94,7,76.37,90.91,161.67,0.0459,Rock
258,1,24244.00,390.05,207.25,6,0.00,100.00,162.80,0.0459,Thumbs Up
259,2,25171.00,388.19,209.24,6,81.58,100.00,163.67,0.0433,Rock
260,2,23842.00,388.27,207.72,7,80.13,100.00,165.67,0.0433,Rock
261,1,22618.50,390.35,201.79,6,0.00,100.00,165.67,0.0433,Thumbs Up
262,2,23315.50,392.03,198.45,6,81.62,100.00,166.80,0.0272,Rock
263,2,25653.00,394.16,199.32,7,77.29,100.00,167.67,0.0272,Rock
264,2,27399.50,394.40,202.58,7,76.96,100.00,169.67,0.0272,Rock
265,1,27919.00,394.86,202.14,8,0.00,100.00,169.67,0.0433,Thumbs Up
266,1,27122.50,393.33,202.86,6,0.00,100.00,170.80,0.0433,Thumbs Up
267,2,27871.00,395.40,199.66,7,69.34,125.00,171.67,0.0433,Rock
268,1,25889.50,394.35,203.21,7,0.00,100.00,172.80,0.0292,Thumbs Up
269,2,24461.00,394.15,200.95,7,81.02,100.00,173.79,0.0292,Rock
270,1,23769.50,393.87,202.28,7,0.00,100.00,174.67,0.0292,Thumbs Up
271,1,24072.00,393.33,203.18,8,0.00,100.00,175.55,0.0418,Thumbs Up
272,1,24546.50,392.21,205.33,8,0.00,100.00,177.55,0.0418,Thumbs Up
273,1,26522.50,393.09,205.34,7,0.00,100.00,177.55,0.0418,Thumbs Up
274,1,25684.00,392.68,206.73,6,0.00,100.00,178.67,0.0405,Thumbs Up
275,2,28674.50,394.29,205.24,9,78.92,100.00,179.92,0.0405,Rock
276,1,25043.50,391.10,207.54,6,0.00,100.00,181.31,0.0405,Thumbs Up
277,1,25036.50,392.15,205.81,7,0.00,100.00,182.19,0.0423,Thumbs Up
278,1,25841.00,393.18,205.74,6,0.00,100.00,183.07,0.0423,Thumbs Up
279,1,25320.50,391.97,206.98,7,0.00,100.00,183.95,0.0423,Thumbs Up
280,1,24980.00,392.03,207.18,8,0.00,100.00,184.83,0.0320,Thumbs Up
281,1,24721.50,391.89,206.60,7,0.00,100.00,186.19,0.0320,Thumbs Up
282,1,24916.00,392.86,203.94,6,0.00,100.00,187.07,0.0320,Thumbs Up
283,1,24859.50,391.59,205.69,7,0.00,100.00,187.95,0.0371,Thumbs Up
284,1,25236.50,391.88,204.94,8,0.00,100.00,188.83,0.0371,Thumbs Up
285,1,25574.00,392.62,205.35,7,0.00,100.00,191.04,0.0371,Thumbs Up
286,1,25541.50,391.89,206.11,8,0.00,100.00,191.92,0.0288,Thumbs Up
287,2,24882.00,392.58,205.06,6,71.69,100.00,192.80,0.0288,Rock
288,1,26118.00,391.98,207.04,8,0.00,90.91,193.67,0.0288,Thumbs Up
289,1,24638.00,391.45,207.28,7,0.00,142.86,194.55,0.0420,Thumbs Up
290,1,25489.00,391.47,206.29,8,0.00,111.11,195.43,0.0420,Thumbs Up
291,2,24827.50,392.44,204.89,6,83.64,100.00,196.31,0.0420,Rock
292,1,24996.00,391.82,205.48,7,0.00,90.91,197.19,0.0317,Thumbs Up
293,1,25828.00,392.51,206.14,6,0.00,100.00,198.55,0.0317,Thumbs Up
294,1,26357.50,392.16,204.88,7,0.00,100.00,199.55,0.0317,Thumbs Up
295,1,26610.50,392.90,204.39,7,0.00,100.00,200.42,0.0441,Thumbs Up
296,2,26488.50,391.97,205.30,7,81.55,100.00,201.30,0.0441,Rock
297,1,26531.50,392.28,205.97,7,0.00,100.00,202.55,0.0441,Thumbs Up
298,1,26262.00,392.33,205.59,7,0.00,100.00,203.43,0.0515,Thumbs Up
299,1,25939.50,392.09,205.69,7,0.00,100.00,204.80,0.0515,Thumbs Up
300,1,26180.00,392.29,205.77,7,0.00,100.00,205.67,0.0515,Thumbs Up
301,1,26068.00,392.05,205.50,7,0.00,100.00,206.55,0.0438,Thumbs Up
302,2,26272.50,392.82,204.57,7,76.39,100.00,207.43,0.0438,Rock
303,1,25769.50,391.78,205.43,6,0.00,100.00,208.31,0.0438,Thumbs Up
304,2,25437.50,392.38,204.39,7,78.49,125.00,209.19,0.0312,Rock
305,1,27503.50,393.09,206.28,7,0.00,100.00,210.55,0.0312,Thumbs Up
306,1,27295.50,393.43,205.51,7,0.00,100.00,211.43,0.0312,Thumbs Up
307,2,27864.00,391.78,206.71,6,78.37,100.00,212.31,0.0451,Rock
308,1,27159.00,392.03,206.97,7,0.00,100.00,213.67,0.0451,Thumbs Up
309,1,27529.00,392.33,207.03,6,0.00,100.00,214.55,0.0451,Thumbs Up
310,1,27906.50,391.39,208.13,7,0.00,100.00,215.43,0.0316,Thumbs Up
311,1,27424.50,391.92,206.72,6,0.00,100.00,216.31,0.0316,Thumbs Up
312,2,28744.50,393.68,204.26,7,80.26,100.00,217.19,0.0316,Rock
313,2,27943.50,390.85,208.44,6,78.05,100.00,218.55,0.0372,Rock
314,1,28386.00,392.13,207.49,7,0.00,100.00,219.43,0.0372,Thumbs Up
315,2,26392.50,391.95,204.95,7,78.95,100.00,220.31,0.0372,Rock
316,1,26066.50,391.09,205.71,6,0.00,100.00,221.67,0.0321,Thumbs Up
317,2,26667.00,390.58,207.72,6,81.51,100.00,222.67,0.0321,Peace
318,1,27055.50,390.52,208.33,7,0.00,100.00,223.55,0.0321,Thumbs Up
319,1,27749.50,391.48,207.26,7,0.00,100.00,224.43,0.0401,Thumbs Up
320,1,25946.50,391.20,206.71,6,0.00,90.91,225.30,0.0401,Thumbs Up
321,3,27710.00,392.02,207.30,6,79.43,90.91,226.55,0.0401,OK
322,1,24866.50,391.27,205.96,7,0.00,100.00,227.43,0.0450,Thumbs Up
323,1,25377.00,391.68,205.58,7,0.00,100.00,228.31,0.0000,Thumbs Up
324,1,25449.50,391.86,205.57,7,0.00,111.11,229.67,0.0000,Thumbs Up
325,2,25724.00,391.77,205.18,6,77.62,100.00,230.55,0.0389,Rock
326,1,26729.00,391.47,206.25,7,0.00,100.00,231.43,0.0389,Thumbs Up
